transaction_id,transaction_date,customer_id,customer_gender,customer_age_group,customer_segment,product_id,product_name,category,brand,quantity,unit_price,discount_pct,sales_amount,payment_method,sales_channel,region
T0000158,2/1/2024,C001994,Female,45-54,VIP,P1083,Dumbbells,Sports,Brand 2,1,168.79,10,151.91,Credit Card,In-Store,West
T0000581,2/1/2024,C019068,Other,45-54,Returning,P1081,Football,Sports,Brand 3,2,432.24,10,778.03,Credit Card,Mobile App,East
T0000748,2/3/2024,C021857,Other,55+,Loyal,P1110,Cookbook,Books,Brand 2,1,43.11,5,40.95,Cash,Online,North
T0000811,2/3/2024,C011235,Male,25-34,Returning,P1111,Cookbook,Books,Brand 3,2,148.43,10,267.17,PayPal,In-Store,West
T0000870,2/3/2024,C009719,Female,35-44,Returning,P1068,Cookware Set,Home,Brand 2,2,402.09,10,723.76,Credit Card,Mobile App,East
T0000317,2/4/2024,C002436,Other,18-24,New,P1068,Cookware Set,Home,Brand 2,2,402.09,0,804.18,PayPal,Online,South
T0000801,2/4/2024,C001241,Other,45-54,Loyal,P1047,Shampoo,Beauty,Brand 2,1,159.3,0,159.3,Credit Card,Mobile App,West
T0000467,2/5/2024,C016453,Other,55+,Returning,P1116,Textbook,Books,Brand 2,4,436.37,10,1570.93,Credit Card,In-Store,South
T0000887,2/5/2024,C021809,Female,35-44,Returning,P1091,Puzzle,Toys,Brand 1,2,64.2,0,128.4,Cash,In-Store,Central
T0000047,2/6/2024,C012099,Other,55+,Returning,P1070,Storage Box,Home,Brand 1,2,493.51,0,987.02,PayPal,Online,North
T0000411,2/6/2024,C018117,Other,45-54,Returning,P1120,Children Book,Books,Brand 3,1,271.97,0,271.97,Cash,Online,West
T0000492,2/6/2024,C019105,Other,55+,Returning,P1095,Toy Car,Toys,Brand 2,3,386.63,20,927.91,Cash,Mobile App,South
T0000750,2/6/2024,C003052,Female,35-44,Loyal,P1047,Shampoo,Beauty,Brand 2,1,159.3,10,143.37,PayPal,Online,West
T0000767,2/8/2024,C006623,Male,45-54,New,P1101,Doll,Toys,Brand 2,1,20.56,0,20.56,PayPal,Mobile App,South
T0000051,2/9/2024,C015424,Male,25-34,VIP,P1049,Moisturizer,Beauty,Brand 1,2,275.62,0,551.24,Cash,In-Store,South
T0000256,2/11/2024,C001485,Male,25-34,Loyal,P1065,Lamp,Home,Brand 2,2,144.06,20,230.5,PayPal,Mobile App,West
T0000269,2/13/2024,C009426,Other,18-24,Loyal,P1038,Rice,Groceries,Brand 2,1,53.35,0,53.35,PayPal,Mobile App,East
T0000734,2/13/2024,C008052,Other,55+,VIP,P1059,Sunscreen,Beauty,Brand 2,2,27.39,0,54.78,Credit Card,Mobile App,West
T0000006,2/14/2024,C023912,Female,55+,New,P1034,Bread,Groceries,Brand 1,1,474.7,0,474.7,PayPal,Online,Central
T0000852,2/14/2024,C001771,Other,35-44,Loyal,P1086,Running Shoes,Sports,Brand 2,2,165.97,10,298.75,Debit Card,In-Store,East
T0000299,2/15/2024,C013182,Female,25-34,Returning,P1032,Milk,Groceries,Brand 2,2,89.41,25,134.12,Credit Card,Online,Central
T0000518,2/16/2024,C000317,Male,25-34,Loyal,P1013,Bluetooth Speaker,Electronics,Brand 1,2,417.06,10,750.71,Cash,In-Store,Central
T0000538,2/19/2024,C018129,Female,55+,VIP,P1095,Toy Car,Toys,Brand 2,1,386.63,15,328.64,Gift Card,Online,Central
T0000662,2/20/2024,C017530,Male,25-34,New,P1020,Jeans,Clothing,Brand 2,2,149.16,0,298.32,Cash,In-Store,South
T0000166,2/22/2024,C009426,Other,35-44,Loyal,P1112,Notebook,Books,Brand 1,2,84.8,0,169.6,Credit Card,Mobile App,Central
T0000807,2/22/2024,C021507,Female,55+,New,P1074,Towel,Home,Brand 2,1,408.65,0,408.65,Cash,In-Store,North
T0000670,2/23/2024,C021847,Male,18-24,Returning,P1114,Notebook,Books,Brand 3,1,405.02,5,384.77,PayPal,In-Store,North
T0000976,2/23/2024,C021017,Other,25-34,VIP,P1098,Board Game,Toys,Brand 2,2,216.63,0,433.26,Debit Card,Online,West
T0000457,2/24/2024,C003319,Female,25-34,Returning,P1021,Jeans,Clothing,Brand 3,1,307.87,0,307.87,PayPal,Mobile App,Central
T0000804,2/24/2024,C011258,Other,18-24,VIP,P1079,Football,Sports,Brand 1,1,182.44,30,127.71,PayPal,Mobile App,West
T0000851,2/24/2024,C006348,Male,25-34,VIP,P1036,Bread,Groceries,Brand 3,1,405.16,0,405.16,PayPal,Online,South
T0000028,2/25/2024,C022065,Other,18-24,New,P1111,Cookbook,Books,Brand 3,2,148.43,0,296.86,PayPal,Mobile App,East
T0000498,2/25/2024,C004941,Male,25-34,Loyal,P1053,Lipstick,Beauty,Brand 2,1,470.05,0,470.05,PayPal,Mobile App,West
T0000532,2/25/2024,C007305,Female,35-44,VIP,P1106,Novel,Books,Brand 1,2,128.4,20,205.44,Cash,Mobile App,West
T0000549,2/25/2024,C000425,Other,35-44,Returning,P1071,Storage Box,Home,Brand 2,1,387.26,5,367.9,Gift Card,In-Store,South
T0000176,2/26/2024,C000252,Male,35-44,Returning,P1077,Yoga Mat,Sports,Brand 2,1,386.78,25,290.08,Debit Card,In-Store,East
T0000871,2/26/2024,C016867,Other,35-44,New,P1095,Toy Car,Toys,Brand 2,2,386.63,5,734.6,Credit Card,In-Store,East
T0000011,2/27/2024,C007506,Male,35-44,VIP,P1108,Novel,Books,Brand 3,4,379,0,1516,Cash,Online,South
T0000595,2/27/2024,C005451,Female,25-34,VIP,P1019,Jeans,Clothing,Brand 1,1,218.81,15,185.99,Gift Card,Mobile App,North
T0000942,2/27/2024,C012825,Female,45-54,VIP,P1065,Lamp,Home,Brand 2,3,144.06,0,432.18,Gift Card,Mobile App,East
T0000188,2/28/2024,C012083,Female,18-24,New,P1005,Headphones,Electronics,Brand 2,1,82.23,0,82.23,Gift Card,Mobile App,Central
T0000034,2/29/2024,C018979,Other,55+,New,P1028,Sneakers,Clothing,Brand 1,2,259.55,0,519.1,Cash,Online,North
T0000244,3/2/2024,C005180,Female,45-54,VIP,P1089,Water Bottle,Sports,Brand 2,1,444.17,0,444.17,PayPal,Online,East
T0000400,3/2/2024,C013041,Other,35-44,VIP,P1006,Headphones,Electronics,Brand 3,2,82.22,0,164.44,PayPal,Mobile App,West
T0000421,3/4/2024,C014254,Other,25-34,Returning,P1073,Towel,Home,Brand 1,1,7.73,5,7.34,Cash,In-Store,East
T0000586,3/5/2024,C008663,Female,25-34,New,P1030,Sneakers,Clothing,Brand 3,1,27.99,0,27.99,Debit Card,Mobile App,East
T0000489,3/6/2024,C011020,Female,35-44,Loyal,P1062,Bedsheet,Home,Brand 2,1,139.32,0,139.32,Cash,Mobile App,East
T0000649,3/6/2024,C015506,Other,18-24,New,P1013,Bluetooth Speaker,Electronics,Brand 1,1,417.06,0,417.06,PayPal,Mobile App,North
T0000099,3/7/2024,C013131,Female,18-24,New,P1106,Novel,Books,Brand 1,1,128.4,0,128.4,Debit Card,Online,Central
T0000919,3/8/2024,C009885,Other,18-24,New,P1006,Headphones,Electronics,Brand 3,2,82.22,0,164.44,Credit Card,Mobile App,South
T0000975,3/8/2024,C011530,Female,55+,Loyal,P1065,Lamp,Home,Brand 2,1,144.06,0,144.06,PayPal,Mobile App,North
T0000356,3/9/2024,C009840,Male,18-24,New,P1041,Coffee,Groceries,Brand 2,1,65.41,0,65.41,Cash,Mobile App,North
T0000025,3/10/2024,C001030,Female,18-24,Returning,P1030,Sneakers,Clothing,Brand 3,1,27.99,0,27.99,Cash,Mobile App,West
T0000555,3/10/2024,C016553,Male,45-54,VIP,P1067,Cookware Set,Home,Brand 1,5,74.76,0,373.8,Credit Card,In-Store,South
T0000758,3/10/2024,C010086,Female,55+,Loyal,P1033,Milk,Groceries,Brand 3,4,37.2,0,148.8,Credit Card,Online,East
T0000935,3/10/2024,C016323,Other,18-24,Returning,P1107,Novel,Books,Brand 2,1,208.14,10,187.33,PayPal,Mobile App,East
T0000021,3/11/2024,C024924,Other,25-34,Returning,P1105,Building Blocks,Toys,Brand 3,1,454.25,5,431.54,PayPal,Mobile App,South
T0000685,3/13/2024,C000429,Male,45-54,New,P1078,Yoga Mat,Sports,Brand 3,1,41.65,0,41.65,PayPal,Mobile App,North
T0000687,3/13/2024,C009959,Male,25-34,New,P1006,Headphones,Electronics,Brand 3,1,82.22,0,82.22,Credit Card,Mobile App,South
T0000645,3/14/2024,C002593,Male,35-44,Returning,P1109,Cookbook,Books,Brand 1,1,118.26,15,100.52,Cash,In-Store,East
T0000838,3/14/2024,C001209,Other,25-34,VIP,P1030,Sneakers,Clothing,Brand 3,1,27.99,0,27.99,Credit Card,In-Store,Central
T0000621,3/15/2024,C016488,Female,35-44,New,P1072,Storage Box,Home,Brand 3,3,103.36,0,310.08,Gift Card,In-Store,Central
T0000989,3/15/2024,C003123,Other,18-24,New,P1033,Milk,Groceries,Brand 3,1,37.2,5,35.34,Cash,Online,West
T0000134,3/16/2024,C014475,Female,55+,Loyal,P1021,Jeans,Clothing,Brand 3,1,307.87,0,307.87,PayPal,Mobile App,East
T0000331,3/18/2024,C011161,Other,55+,VIP,P1030,Sneakers,Clothing,Brand 3,2,27.99,0,55.98,Cash,Online,East
T0000450,3/20/2024,C007799,Female,35-44,Returning,P1096,Toy Car,Toys,Brand 3,3,249.43,0,748.29,Credit Card,Mobile App,East
T0000699,3/21/2024,C001833,Female,35-44,VIP,P1049,Moisturizer,Beauty,Brand 1,2,275.62,20,440.99,PayPal,Online,South
T0000659,3/22/2024,C013836,Other,25-34,Loyal,P1034,Bread,Groceries,Brand 1,1,474.7,10,427.23,Cash,Mobile App,Central
T0000802,3/22/2024,C004656,Other,55+,Loyal,P1089,Water Bottle,Sports,Brand 2,1,444.17,0,444.17,PayPal,Mobile App,North
T0000127,3/23/2024,C010767,Other,55+,VIP,P1084,Dumbbells,Sports,Brand 3,1,36.46,5,34.64,Cash,Mobile App,West
T0000159,3/23/2024,C010555,Other,25-34,New,P1010,Smartwatch,Electronics,Brand 1,1,355.5,15,302.18,Debit Card,In-Store,Central
T0000294,3/23/2024,C022372,Other,55+,Returning,P1049,Moisturizer,Beauty,Brand 1,1,275.62,15,234.28,Cash,Online,South
T0000665,3/23/2024,C024595,Male,18-24,Loyal,P1043,Cereal,Groceries,Brand 1,4,22.02,5,83.68,PayPal,Online,Central
T0000191,3/27/2024,C016534,Other,25-34,New,P1092,Puzzle,Toys,Brand 2,2,358.06,0,716.12,Debit Card,Mobile App,West
T0000420,3/27/2024,C019031,Male,55+,Returning,P1059,Sunscreen,Beauty,Brand 2,1,27.39,10,24.65,PayPal,Online,Central
T0000834,3/27/2024,C020736,Female,25-34,Returning,P1063,Bedsheet,Home,Brand 3,2,415.23,5,788.94,Credit Card,Online,North
T0000946,3/27/2024,C022545,Male,35-44,New,P1076,Yoga Mat,Sports,Brand 1,1,365.86,0,365.86,Cash,Online,North
T0000100,3/28/2024,C008133,Male,55+,VIP,P1039,Rice,Groceries,Brand 3,1,343.7,0,343.7,Gift Card,Mobile App,Central
T0000414,3/29/2024,C018124,Female,18-24,Loyal,P1042,Coffee,Groceries,Brand 3,1,250.11,20,200.09,Debit Card,In-Store,Central
T0000617,3/29/2024,C009042,Female,35-44,VIP,P1021,Jeans,Clothing,Brand 3,1,307.87,10,277.08,PayPal,Mobile App,South
T0000373,3/30/2024,C014388,Male,25-34,Returning,P1045,Cereal,Groceries,Brand 3,1,133.1,0,133.1,Gift Card,Mobile App,East
T0000434,3/30/2024,C009168,Female,25-34,VIP,P1008,Laptop,Electronics,Brand 2,2,433.76,0,867.52,Debit Card,Mobile App,Central
T0000495,4/1/2024,C007283,Female,25-34,Loyal,P1084,Dumbbells,Sports,Brand 3,2,36.46,0,72.92,PayPal,In-Store,East
T0000515,4/1/2024,C003619,Other,45-54,Returning,P1086,Running Shoes,Sports,Brand 2,3,165.97,15,423.22,Credit Card,Mobile App,North
T0000164,4/3/2024,C002798,Male,45-54,New,P1009,Laptop,Electronics,Brand 3,5,302.55,10,1361.48,Cash,Online,Central
T0000531,4/3/2024,C019799,Other,35-44,Returning,P1001,Smartphone,Electronics,Brand 1,4,190.4,0,761.6,PayPal,In-Store,East
T0000612,4/3/2024,C004763,Female,55+,VIP,P1103,Building Blocks,Toys,Brand 1,3,160.61,10,433.65,Credit Card,Online,East
T0000821,4/4/2024,C001864,Other,25-34,New,P1080,Football,Sports,Brand 2,1,62.36,15,53.01,Credit Card,Online,Central
T0000062,4/5/2024,C024614,Male,35-44,Returning,P1043,Cereal,Groceries,Brand 1,3,22.02,0,66.06,Debit Card,Online,North
T0000519,4/5/2024,C012211,Female,25-34,New,P1035,Bread,Groceries,Brand 2,1,482.99,20,386.39,PayPal,In-Store,West
T0000027,4/6/2024,C003177,Other,45-54,Loyal,P1025,Dress,Clothing,Brand 1,1,230.75,0,230.75,PayPal,In-Store,West
T0000428,4/6/2024,C015141,Male,25-34,New,P1032,Milk,Groceries,Brand 2,1,89.41,0,89.41,Credit Card,Online,South
T0000561,4/8/2024,C005486,Other,55+,New,P1011,Smartwatch,Electronics,Brand 2,3,15.19,10,41.01,Credit Card,Online,South
T0000682,4/8/2024,C017145,Other,18-24,New,P1015,Bluetooth Speaker,Electronics,Brand 3,1,95,0,95,Debit Card,Online,North
T0000533,4/9/2024,C024882,Other,25-34,New,P1015,Bluetooth Speaker,Electronics,Brand 3,1,95,20,76,Cash,In-Store,East
T0000129,4/10/2024,C024916,Other,18-24,VIP,P1056,Perfume,Beauty,Brand 2,2,461.33,0,922.66,Debit Card,Mobile App,East
T0000574,4/10/2024,C006469,Other,55+,VIP,P1033,Milk,Groceries,Brand 3,1,37.2,0,37.2,Cash,In-Store,South
T0000856,4/10/2024,C007770,Other,45-54,Returning,P1030,Sneakers,Clothing,Brand 3,5,27.99,5,132.95,PayPal,Online,North
T0000923,4/11/2024,C007013,Other,45-54,Loyal,P1001,Smartphone,Electronics,Brand 1,1,190.4,0,190.4,Gift Card,Online,West
T0000040,4/12/2024,C002401,Other,25-34,Loyal,P1073,Towel,Home,Brand 1,3,7.73,10,20.87,Debit Card,In-Store,North
T0000125,4/12/2024,C014428,Male,55+,VIP,P1043,Cereal,Groceries,Brand 1,1,22.02,0,22.02,Credit Card,Mobile App,South
T0000472,4/12/2024,C003462,Other,18-24,Loyal,P1075,Towel,Home,Brand 3,2,354.89,0,709.78,Gift Card,In-Store,West
T0000517,4/12/2024,C005725,Male,35-44,Loyal,P1007,Laptop,Electronics,Brand 1,2,33.75,5,64.12,Cash,In-Store,North
T0000637,4/12/2024,C023620,Female,25-34,VIP,P1105,Building Blocks,Toys,Brand 3,1,454.25,0,454.25,PayPal,Online,South
T0000445,4/13/2024,C011029,Female,35-44,Returning,P1076,Yoga Mat,Sports,Brand 1,1,365.86,0,365.86,Debit Card,Mobile App,West
T0000511,4/13/2024,C021709,Other,35-44,Returning,P1085,Running Shoes,Sports,Brand 1,2,158.94,0,317.88,PayPal,Online,Central
T0000516,4/13/2024,C008386,Other,25-34,VIP,P1093,Puzzle,Toys,Brand 3,2,381.59,15,648.7,Cash,In-Store,West
T0000372,4/14/2024,C024117,Other,25-34,Loyal,P1055,Perfume,Beauty,Brand 1,1,300.96,0,300.96,Credit Card,In-Store,East
T0000390,4/14/2024,C003382,Female,35-44,Loyal,P1012,Smartwatch,Electronics,Brand 3,1,485.11,0,485.11,Debit Card,In-Store,South
T0000184,4/15/2024,C004799,Female,25-34,Returning,P1031,Milk,Groceries,Brand 1,1,305.73,0,305.73,Gift Card,Online,North
T0000690,4/16/2024,C005467,Male,55+,VIP,P1114,Notebook,Books,Brand 3,1,405.02,15,344.27,Gift Card,In-Store,South
T0000018,4/18/2024,C020490,Female,55+,Returning,P1065,Lamp,Home,Brand 2,5,144.06,0,720.3,Debit Card,In-Store,South
T0000043,4/19/2024,C024328,Other,25-34,Loyal,P1015,Bluetooth Speaker,Electronics,Brand 3,2,95,0,190,Cash,Mobile App,South
T0000065,4/19/2024,C013932,Male,25-34,VIP,P1115,Textbook,Books,Brand 1,4,318.53,15,1083,Credit Card,Mobile App,South
T0000277,4/19/2024,C010979,Female,45-54,VIP,P1078,Yoga Mat,Sports,Brand 3,1,41.65,0,41.65,Debit Card,Mobile App,West
T0000683,4/19/2024,C015905,Male,18-24,New,P1026,Dress,Clothing,Brand 2,1,393.66,0,393.66,Gift Card,Mobile App,West
T0000783,4/19/2024,C010679,Other,18-24,Loyal,P1105,Building Blocks,Toys,Brand 3,1,454.25,15,386.11,Gift Card,In-Store,West
T0000924,4/19/2024,C005927,Female,45-54,VIP,P1087,Running Shoes,Sports,Brand 3,1,366.16,0,366.16,Debit Card,Mobile App,South
T0000967,4/19/2024,C005740,Male,35-44,VIP,P1019,Jeans,Clothing,Brand 1,1,218.81,25,164.11,PayPal,In-Store,Central
T0000918,4/20/2024,C001075,Other,55+,New,P1026,Dress,Clothing,Brand 2,5,393.66,20,1574.64,PayPal,Online,East
T0000029,4/21/2024,C008148,Male,25-34,VIP,P1103,Building Blocks,Toys,Brand 1,2,160.61,0,321.22,Debit Card,In-Store,South
T0000271,4/21/2024,C020175,Other,55+,Returning,P1018,T-Shirt,Clothing,Brand 3,1,264.75,30,185.32,Debit Card,Online,Central
T0000788,4/21/2024,C022463,Other,45-54,Loyal,P1077,Yoga Mat,Sports,Brand 2,1,386.78,0,386.78,PayPal,Mobile App,North
T0000001,4/24/2024,C000820,Other,35-44,Returning,P1082,Dumbbells,Sports,Brand 1,2,313.53,20,501.65,Debit Card,Online,North
T0000397,4/25/2024,C007900,Female,55+,New,P1050,Moisturizer,Beauty,Brand 2,2,96.5,0,193,Gift Card,Online,East
T0000925,4/25/2024,C024950,Female,18-24,VIP,P1053,Lipstick,Beauty,Brand 2,1,470.05,0,470.05,Credit Card,Mobile App,South
T0000118,4/26/2024,C015121,Male,25-34,VIP,P1029,Sneakers,Clothing,Brand 2,1,298.25,5,283.34,Cash,Mobile App,East
T0000156,4/26/2024,C024434,Male,45-54,VIP,P1068,Cookware Set,Home,Brand 2,1,402.09,10,361.88,Cash,Mobile App,Central
T0000183,4/26/2024,C017387,Other,25-34,Loyal,P1082,Dumbbells,Sports,Brand 1,1,313.53,20,250.82,Cash,Mobile App,South
T0000371,4/26/2024,C008779,Other,35-44,New,P1074,Towel,Home,Brand 2,2,408.65,0,817.3,PayPal,Mobile App,South
T0000081,4/27/2024,C005367,Female,18-24,New,P1096,Toy Car,Toys,Brand 3,3,249.43,0,748.29,Cash,Mobile App,West
T0000106,4/27/2024,C017845,Male,25-34,Loyal,P1055,Perfume,Beauty,Brand 1,1,300.96,10,270.86,Debit Card,Online,North
T0000180,4/27/2024,C013273,Male,35-44,Returning,P1038,Rice,Groceries,Brand 2,4,53.35,0,213.4,Gift Card,In-Store,East
T0000114,4/28/2024,C013245,Other,18-24,VIP,P1042,Coffee,Groceries,Brand 3,2,250.11,0,500.22,PayPal,Online,South
T0000725,5/1/2024,C006034,Female,25-34,New,P1069,Cookware Set,Home,Brand 3,2,41.9,0,83.8,Cash,In-Store,West
T0000837,5/1/2024,C006937,Other,55+,VIP,P1052,Lipstick,Beauty,Brand 1,1,388.69,5,369.26,Gift Card,Online,Central
T0000177,5/2/2024,C000254,Female,45-54,Returning,P1042,Coffee,Groceries,Brand 3,1,250.11,20,200.09,Debit Card,In-Store,Central
T0000906,5/2/2024,C012230,Other,55+,New,P1089,Water Bottle,Sports,Brand 2,1,444.17,0,444.17,Cash,Online,Central
T0000083,5/3/2024,C018545,Male,35-44,VIP,P1104,Building Blocks,Toys,Brand 2,1,256.74,0,256.74,Cash,Online,Central
T0000389,5/3/2024,C013839,Other,25-34,VIP,P1105,Building Blocks,Toys,Brand 3,1,454.25,20,363.4,Credit Card,Online,West
T0000965,5/3/2024,C017104,Other,55+,Loyal,P1120,Children Book,Books,Brand 3,1,271.97,0,271.97,PayPal,Online,South
T0000066,5/4/2024,C014958,Male,45-54,Loyal,P1118,Children Book,Books,Brand 1,1,97.35,0,97.35,PayPal,Mobile App,Central
T0000210,5/4/2024,C001565,Male,45-54,VIP,P1039,Rice,Groceries,Brand 3,1,343.7,0,343.7,Credit Card,Online,West
T0000268,5/4/2024,C018792,Other,55+,VIP,P1037,Rice,Groceries,Brand 1,1,155.78,0,155.78,PayPal,In-Store,South
T0000151,5/5/2024,C014901,Male,25-34,New,P1025,Dress,Clothing,Brand 1,2,230.75,10,415.35,Credit Card,In-Store,South
T0000966,5/5/2024,C010270,Female,55+,VIP,P1077,Yoga Mat,Sports,Brand 2,1,386.78,0,386.78,Debit Card,In-Store,South
T0000740,5/6/2024,C002989,Male,45-54,Loyal,P1092,Puzzle,Toys,Brand 2,1,358.06,20,286.45,Credit Card,Mobile App,West
T0000847,5/9/2024,C006756,Male,35-44,VIP,P1089,Water Bottle,Sports,Brand 2,1,444.17,0,444.17,PayPal,Online,South
T0000594,5/10/2024,C018793,Other,25-34,Returning,P1006,Headphones,Electronics,Brand 3,2,82.22,15,139.77,Gift Card,Online,Central
T0000859,5/10/2024,C001052,Other,55+,New,P1043,Cereal,Groceries,Brand 1,1,22.02,0,22.02,Cash,Online,North
T0000539,5/11/2024,C003394,Female,55+,Loyal,P1023,Jacket,Clothing,Brand 2,5,149.61,25,561.04,Gift Card,In-Store,West
T0000916,5/11/2024,C022749,Male,25-34,Loyal,P1029,Sneakers,Clothing,Brand 2,1,298.25,0,298.25,Debit Card,Online,South
T0000237,5/12/2024,C014177,Other,18-24,New,P1024,Jacket,Clothing,Brand 3,1,186.35,0,186.35,Gift Card,Online,East
T0000504,5/12/2024,C003366,Female,55+,Loyal,P1040,Coffee,Groceries,Brand 1,1,222.88,0,222.88,Debit Card,Online,North
T0000443,5/13/2024,C011166,Other,25-34,Loyal,P1026,Dress,Clothing,Brand 2,2,393.66,5,747.95,Credit Card,Online,South
